Brazos Valles,-6.08,18.70,387510.00,3396200.00,ME
Bremerhaven,23.70,311.36,2690.00,3396200.00,AA
Briault,-9.98,89.68,93060.00,3396200.00,AA
Bridgetown,21.90,312.92,1570.00,3396200.00,AA
Bristol,22.09,313.07,3000.00,3396200.00,AA
Broach,23.51,303.11,11310.00,3396200.00,AA
Bronkhorst,-10.70,304.79,17750.00,3396200.00,AA
Brush,21.70,111.34,6490.00,3396200.00,AA
Bulhar,50.36,134.52,18240.00,3396200.00,AA
Bunge,-33.82,311.41,70830.00,3396200.00,AA
Burroughs,-72.29,117.10,112690.00,3396200.00,AA
Burton,-13.88,203.67,119260.00,3396200.00,AA
Buta,-23.25,327.59,11270.00,3396200.00,AA
Butte,-5.08,321.09,12550.00,3396200.00,AA
Buvinda Vallis,33.17,151.96,134170.00,3396200.00,ME
Byala,-25.73,293.53,26230.00,3396200.00,AA
Byrd,-65.22,127.83,123270.00,3396200.00,AA
Byske,-4.97,326.05,12560.00,3396200.00,AA
Cádiz,23.15,310.97,1380.00,3396200.00,AA
Cairns,23.56,312.54,8730.00,3396200.00,AA
Calahorra,26.46,321.35,34220.00,3396200.00,AA
Calamar,18.27,305.13,7210.00,3396200.00,AA
Calbe,-25.14,331.13,13140.00,3396200.00,AA
Calydon Fossa,-7.43,272.02,351250.00,3396200.00,AA
Camargo,17.70,109.64,4770.00,3396200.00,AA
Camichel,2.26,308.39,65260.00,3396200.00,AA
Camiling,-0.71,322.00,21910.00,3396200.00,AA
Camiri,-44.65,317.83,31360.00,3396200.00,AA
Campbell,-54.25,165.58,125260.00,3396200.00,AA
Campos,-21.80,332.19,8250.00,3396200.00,AA
Can,48.21,345.41,8620.00,3396200.00,AA
Canala,24.35,279.92,12000.00,3396200.00,AA
Cañas,-31.19,89.86,41520.00,3396200.00,AA
Canaveral,46.83,135.83,3180.00,3396200.00,AA
Canberra,47.20,132.66,3100.00,3396200.00,AA
Candor,2.96,285.00,0.00,3396200.00,AA
